WERKS|MATNR|MENGE|MEINS|WRBTR|WAERS|BLDAT|BKTXT|KOSTL|LIFNR
DE01|FUEL-DSL-001|1.200,50|L|1500.00|EUR|20240115|Jan Diesel HQ|CC001|V-123
DE02|FUEL-PET-001|800,00|L|1100.00|EUR|20240116|Jan Petrol Fleet|CC002|V-124
IN03|FUEL-NG-001|450.5|M3|500.00|INR|20240117|Jan Natural Gas Factory|CC003|V-125
US07|FUEL-LPG-001|250,00|GAL|450.00|USD|01.02.2024|Feb LPG Warehouse|CC004|V-126
GB05|FUEL-HFO-001|15,5|TO|8000.00|GBP|20240205|Feb HFO Generator|CC005|V-127
DE01|PROC-OFFSUPP-01|500|EA|250.00|EUR|20240210|Feb Paper Procurement|CC001|V-999
DE02|FUEL-DSL-001|1.000,00|L|1300.00|EUR|20240212|Feb Diesel Fleet|CC002|V-123
IN03|FUEL-PET-001|950.0|L|1200.00|INR|20240215|Feb Petrol Factory|CC003|V-124
US07|FUEL-NG-001|500,25|FT3|600.00|USD|15.02.2024|Feb NG Warehouse|CC004|V-125
GB05|FUEL-LPG-001|1000,00|KG|1500.00|GBP|20240218|Feb LPG Generator|CC005|V-126
DE01|FUEL-HFO-001|20,0|TO|10500.00|EUR|20240220|Feb HFO HQ|CC001|V-127
DE02|PROC-OFFSUPP-01|1000|EA|450.00|EUR|20240225|Feb Pen Procurement|CC002|V-999
IN03|FUEL-DSL-001|1.150,00|L|1450.00|INR|20240301|Mar Diesel Factory|CC003|V-123
US07|FUEL-PET-001|850,50|GAL|1250.00|USD|02.03.2024|Mar Petrol Warehouse|CC004|V-124
GB05|FUEL-NG-001|480.0|M3|520.00|GBP|20240305|Mar NG Generator|CC005|V-125
DE01|FUEL-LPG-001|300,00|L|480.00|EUR|20240310|Mar LPG HQ|CC001|V-126
DE02|FUEL-HFO-001|18,5|TO|9500.00|EUR|20240312|Mar HFO Fleet|CC002|V-127
IN03|PROC-OFFSUPP-01|200|EA|100.00|INR|20240315|Mar Staples Procurement|CC003|V-999
US07|FUEL-DSL-001|1.250,00|GAL|1550.00|USD|18.03.2024|Mar Diesel Warehouse|CC004|V-123
GB05|FUEL-PET-001|900.0|L|1150.00|GBP|20240320|Mar Petrol Generator|CC005|V-124
DE01|FUEL-NG-001|460,50|M3|510.00|EUR|20240322|Mar NG HQ|CC001|V-125
DE02|FUEL-LPG-001|280,00|L|460.00|EUR|20240325|Mar LPG Fleet|CC002|V-126
IN03|FUEL-HFO-001|16,0|TO|8200.00|INR|20240328|Mar HFO Factory|CC003|V-127
US07|PROC-OFFSUPP-01|600|EA|300.00|USD|29.03.2024|Mar Ink Procurement|CC004|V-999
GB05|FUEL-DSL-001|1.050,00|L|1350.00|GBP|20240330|Mar Diesel Generator|CC005|V-123
DE01|FUEL-PET-001|820,00|L|1120.00|EUR|20240401|Apr Petrol HQ|CC001|V-124
DE02|FUEL-NG-001|470.5|M3|515.00|EUR|20240405|Apr NG Fleet|CC002|V-125
IN03|FUEL-LPG-001|290,00|L|470.00|INR|20240410|Apr LPG Factory|CC003|V-126
US07|FUEL-DSL-001||GAL|1550.00|USD|15.04.2024|Bad Data Missing Menge|CC004|V-123
GB05|FUEL-PET-001|900.0|L|1150.00|GBP|INVALID|Bad Data Invalid Date|CC005|V-124